iter	Passed	Remaining
424	1765	39782
425	1768	39745
426	1772	39728
427	1775	39708
428	1778	39683
429	1782	39666
430	1785	39644
431	1789	39623
432	1792	39594
433	1794	39552
434	1798	39544
435	1801	39513
436	1805	39510
437	1809	39496
438	1811	39460
439	1815	39447
440	1818	39413
441	1821	39395
442	1825	39377
443	1828	39354
444	1831	39335
445	1835	39317
446	1838	39292
447	1841	39268
448	1844	39233
449	1848	39233
450	1852	39213
451	1854	39176
452	1858	39159
453	1860	39122
454	1864	39114
455	1868	39097
456	1881	39287
457	1886	39296
458	1889	39281
459	1893	39276
460	1898	39274
461	1901	39250
462	1904	39237
463	1907	39203
464	1911	39194
465	1914	39174
466	1919	39178
467	1922	39165
468	1926	39152
469	1930	39142
470	1933	39123
471	1937	39104
472	1940	39089
473	1944	39076
474	1947	39058
475	1951	39040
476	1954	39021
477	1957	39003
478	1961	38990
479	1964	38954
480	1967	38938
481	1970	38919
482	1973	38894
483	1977	38879
484	1980	38861
485	1984	38842
486	1987	38823
487	1992	38843
488	1996	38834
489	2000	38829
490	2003	38802
491	2007	38791
492	2009	38757
493	2014	38759
494	2018	38758
495	2022	38747
496	2025	38736
497	2028	38710
498	2032	38689
499	2035	38674
500	2039	38659
501	2042	38645
502	2046	38630
503	2049	38615
504	2052	38598
505	2056	38589
506	2060	38578
507	2063	38554
508	2067	38552
509	2070	38535
510	2074	38525
511	2078	38517
512	2081	38501
513	2085	38482
514	2088	38463
515	2091	38446
516	2095	38429
517	2097	38400
518	2101	38394
519	2104	38362
520	2108	38369
521	2112	38353
522	2115	38337
523	2118	38315
524	2121	38294
525	2124	38268
526	2128	38258
527	2131	38243
528	2135	38226
529	2138	38215
530	2141	38190
531	2145	38185
532	2148	38164
533	2152	38151
534	2155	38138
535	2159	38124
536	2162	38111
537	2165	38093
538	2169	38079
539	2172	38066
540	2176	38051
541	2179	38035
542	2183	38022
543	2186	38007
544	2189	37991
545	2193	37978
546	2196	37963
547	2200	37949
548	2203	37936
549	2206	37906
550	2210	37900
551	2212	37873
552	2216	37865
553	2220	37855
554	2222	37826
555	2226	37819
556	2229	37794
557	2233	37798
558	2237	37789
559	2240	37773
560	2244	37764
561	2248	37761
562	2252	37758
563	2256	37755
564	2259	37732
565	2263	37731
566	2266	37707
567	2270	37702
568	2273	37686
569	2276	37666
570	2280	37655
571	2283	37645
572	2287	37630
573	2290	37613
574	2295	37630
575	2302	37670
576	2308	37695
577	2312	37697
578	2316	37699
579	2320	37686
580	2323	37670
581	2326	37652
582	2330	37639
583	2333	37628
584	2337	37619
585	2340	37602
586	2344	37588
587	2347	37578
588	2351	37566
589	2354	37553
590	2357	37538
591	2361	37527
592	2364	37515
593	2382	37732
594	2387	37731
595	2392	37742
596	2397	37757
597	2401	37760
598	2405	37756
599	2409	37748
600	2413	37741
601	2416	37723
602	2419	37700
603	2422	37692
604	2426	37677
605	2429	37659
606	2432	37635
607	2435	37626
608	2439	37612
609	2442	37601
610	2446	37588
611	2449	37572
612	2452	37562
613	2455	37541
614	2459	37531
615	2462	37516
616	2465	37501
617	2469	37487
618	2472	37473
619	2476	37462
620	2479	37450
621	2483	37436
622	2486	37422
623	2490	37421
624	2493	37408
625	2497	37391
626	2500	37374
627	2503	37360
628	2506	37346
629	2510	37334
630	2513	37317
631	2516	37298
632	2519	37287
633	2523	37273
634	2526	37260
635	2529	37248
636	2533	37232
637	2536	37222
638	2539	37198
639	2542	37191
640	2546	37179
641	2550	37170
642	2553	37159
643	2556	37143
644	2560	37130
645	2563	37113
646	2566	37101
647	2569	37086
648	2572	37070
649	2576	37059
650	2579	37048
651	2583	37035
652	2586	37022
653	2589	37005
654	2593	36995
655	2596	36981
656	2598	36959
657	2602	36954
658	2606	36940
659	2609	36926
660	2613	36930
661	2618	36935
662	2623	36940
663	2626	36931
664	2632	36956
665	2636	36948
666	2639	36933
667	2643	36935
668	2659	37091
669	2663	37083
670	2667	37082
671	2670	37071
672	2674	37066
673	2678	37056
674	2681	37048
675	2685	37036
676	2688	37029
677	2692	37015
678	2695	37003
679	2698	36987
680	2701	36969
681	2705	36962
682	2708	36950
683	2712	36937
684	2714	36919
685	2718	36914
686	2722	36905
687	2725	36888
688	2728	36872
689	2731	36859
690	2735	36848
691	2737	36826
692	2741	36823
693	2745	36810
694	2748	36796
695	2751	36786
696	2755	36773
697	2758	36762
698	2762	36753
699	2765	36745
700	2769	36740
701	2772	36720
702	2775	36711
703	2779	36701
704	2783	36695
705	2786	36683
706	2790	36673
707	2793	36659
708	2796	36650
709	2800	36640
710	2803	36628
711	2807	36618
712	2810	36604
713	2813	36591
714	2816	36568
715	2820	36566
716	2823	36551
717	2826	36540
718	2829	36528
719	2833	36515
720	2836	36504
721	2839	36484
722	2843	36487
723	2847	36476
724	2849	36455
725	2853	36452
726	2856	36432
727	2859	36424
728	2863	36413
729	2866	36395
730	2869	36388
731	2874	36390
732	2877	36373
733	2880	36368
734	2884	36357
735	2887	36343
736	2890	36333
737	2894	36320
738	2897	36311
739	2901	36302
740	2904	36292
741	2907	36273
742	2911	36268
743	2914	36257
744	2917	36249
745	2922	36248
746	2925	36240
747	2928	36227
748	2932	36221
749	2936	36216
750	2939	36206
751	2943	36194
752	2946	36183
753	2950	36174
754	2953	36165
755	2956	36155
756	2960	36145
757	2963	36131
758	2967	36125
759	2970	36114
760	2973	36105
761	2977	36098
762	2981	36092
763	2985	36087
764	2988	36081
765	2991	36066
766	2996	36072
767	3000	36070
768	3004	36060
769	3007	36052
770	3011	36046
771	3014	36036
772	3017	36019
773	3021	36014
774	3024	36001
775	3028	35992
776	3030	35973
777	3034	35971
778	3038	35961
779	3040	35943
780	3044	35937
781	3046	35916
782	3050	35909
783	3053	35897
784	3057	35886
785	3060	35877
786	3064	35868
787	3066	35851
788	3070	35842
789	3073	35830
790	3076	35817
791	3079	35806
792	3083	35798
793	3086	35785
794	3089	35776
795	3093	35768
796	3096	35758
797	3100	35750
798	3103	35744
799	3106	35727
800	3110	35725
801	3114	35715
802	3117	35703
803	3120	35690
804	3123	35681
805	3127	35671
806	3130	35661
807	3133	35644
808	3136	35639
809	3140	35628
810	3143	35619
811	3147	35611
812	3150	35603
813	3154	35593
814	3157	35588
815	3161	35582
816	3164	35572
817	3168	35563
818	3171	35555
819	3174	35539
820	3178	35533
821	3180	35514
822	3184	35509
823	3187	35499
824	3191	35490
825	3194	35485
826	3197	35470
827	3201	35469
828	3205	35457
829	3208	35447
830	3211	35429
831	3214	35421
832	3217	35404
833	3221	35400
834	3224	35394
835	3227	35383
836	3231	35375
837	3234	35365
838	3238	35356
839	3241	35343
840	3244	35338
841	3248	35327
842	3250	35308
843	3254	35304
844	3257	35295
845	3261	35285
846	3264	35272
847	3267	35265
848	3271	35258
849	3273	35241
850	3277	35233
851	3280	35223
852	3283	35207
853	3288	35213
854	3290	35196
855	3294	35191
856	3297	35180
857	3300	35165
858	3304	35162
859	3307	35151
860	3310	35137
861	3314	35138
862	3317	35127
863	3322	35131
864	3325	35124
865	3329	35117
866	3332	35109
867	3336	35103
868	3340	35098
869	3343	35091
870	3347	35086
871	3351	35080
872	3354	35072
873	3358	35064
874	3361	35052
875	3364	35043
876	3368	35037
877	3371	35032
878	3375	35027
879	3379	35019
880	3381	35002
881	3385	35001
882	3388	34986
883	3392	34985
884	3396	34978
885	3399	34972
886	3403	34965
